time_us,detValue
1282010,2.881200
1284010,2.793000
1285010,2.616600
1287010,2.587200
1288010,2.773400
1290010,2.577400
1292010,2.729300
1293010,2.744000
1295010,2.802800
1296010,2.866500
1298010,2.940000
1299010,2.846900
1301010,2.856700
1302010,2.793000
1304010,2.660700
1305010,2.646000
1307010,2.675400
1308010,2.783200
1310010,2.832200
1312010,2.773400
1313013,2.709700
1315010,3.033100
1316011,2.989000
1318010,3.121300
1319010,2.856700
1321010,2.964500
1322010,3.106600
1324010,2.920400
1325010,3.072300
1327010,3.087000
1329010,2.920400
1330010,3.165400
1332010,3.199700
1333010,3.121300
1335010,2.905700
1336010,3.042900
1338010,2.954700
1339010,3.003700
1341010,2.944900
1342010,3.082100
1344010,2.979200
1346010,3.121300
1347010,3.175200
1349010,2.959600
1350010,3.155600
1352010,2.954700
1353010,2.989000
1355010,2.851800
1356010,3.087000
1358010,3.038000
1359010,2.959600
1361010,3.033100
1362010,2.910600
1364010,3.140900
1366010,3.091900
1367010,3.047800
1369010,2.866500
1370011,3.008600
1372010,2.930200
1373010,2.891000
1375010,3.087000
1376010,3.042900
1378010,3.150700
1379010,3.052700
1381010,3.087000
1383010,3.145800
1384010,2.920400
1386010,2.832200
1387010,3.042900
1389010,3.096800
1390010,2.900800
1392010,3.038000
1393010,2.940000
1395010,2.979200
1396010,3.091900
1398010,3.204600
1400010,3.003700
1401010,2.930200
1403010,2.886100
1404010,2.935100
1406010,2.910600
1407010,2.920400
1409010,3.116400
1410010,2.930200
1412010,3.155600
1413010,3.160500
1415010,3.013500
1416010,3.072300
1418010,2.954700
1420010,3.062500
1421010,3.008600
1423010,2.974300
1424011,3.077200
1426010,3.028200
1427010,3.091900
1429010,3.165400
1430010,3.082100
1432010,3.008600
1433010,3.150700
1435010,3.057600
1437010,2.935100
1438010,2.989000
1440010,2.944900
1441010,3.067400
1443010,3.018400
1444010,2.920400
1446010,3.042900
1447010,3.199700
1449010,3.199700
1450010,3.072300
1452010,3.052700
1454010,2.886100
1455010,2.993900
1457010,2.881200
1458010,3.013500
1460010,3.042900
1461010,3.087000
1463010,3.209500
1464010,3.111500
1466010,3.136000
1467014,3.180100
1469010,2.548000
1470010,2.616600
1472010,2.665600
1474010,2.778300
1475010,2.655800
1477010,2.655800
1478011,2.744000
1480010,2.935100
1481010,2.876300
1483010,2.876300
1484010,2.817500
1486010,2.636200
1487010,2.548000
1489010,2.699900
1491010,2.748900
1492010,2.577400
1494010,2.650900
1495010,2.587200
1497010,2.719500
1498010,2.842000
1500010,2.670500
1501010,2.812600
1503010,2.753800
1504010,2.626400
1506010,2.611700
1508010,2.783200
1509010,2.587200
1511010,2.783200
1512010,2.739100
1514010,2.797900
1515010,2.793000
1517010,2.758700
1518010,2.704800
1520010,2.533300
1521010,2.548000
1523010,2.646000
1524010,2.621500
1526010,2.636200
1528010,2.695000
1529010,2.827300
1531010,2.704800
1532011,2.670500
1534010,2.685200
1535010,2.753800
1537010,2.552900
1538010,2.508800
1540010,2.646000
1541010,2.685200
1543010,2.866500
1545010,2.660700
1546010,2.646000
1548010,2.734200
1549010,2.690100
1551010,2.650900
1552010,2.655800
1554010,2.675400
1555010,2.670500
1557010,2.675400
1558010,2.655800
1560010,2.768500
1562010,2.876300
1563010,2.704800
1565010,2.895900
1566010,2.832200
1568010,2.739100
1569010,2.601900
1571010,2.714600
1572010,2.577400
1574010,2.655800
1575010,2.680300
1577010,2.763600
1578010,2.802800
1580010,2.690100
1582010,2.915500
1583010,2.886100
1585010,2.758700
1586011,2.631300
1588010,2.518600
1589010,2.685200
1591010,2.528400
1592010,2.601900
1594010,2.734200
1595010,2.601900
1597010,2.940000
1599010,2.900800
1600010,2.709700
1602010,2.748900
1603010,2.685200
1605010,2.665600
1606010,2.587200
1608010,2.685200
1609010,2.675400
1611010,2.704800
1612010,2.631300
1614010,2.959600
1616010,2.925300
1617010,2.646000
1619010,2.665600
1620010,2.650900
1622013,2.744000
1623010,3.033100
1625010,3.033100
1626010,3.052700
1628010,3.028200
1629010,3.111500
1631010,3.160500
1632010,3.096800
1634010,2.900800
1636010,3.091900
1637010,2.851800
1639010,3.126200
1640011,2.915500
1642010,2.851800
1643010,3.042900
1645010,2.969400
1646010,3.126200
1648010,2.989000
1649010,3.194800
1651010,2.969400
1653010,2.910600
1654010,2.822400
1656010,2.876300
1657010,2.851800
1659010,3.018400
1660010,3.150700
1662010,2.910600
1663010,3.091900
1665010,3.180100
1666010,3.052700
1668010,3.062500
1670010,3.018400
1671010,2.822400
1673010,3.047800
1674010,3.008600
1676010,3.067400
1677010,3.096800
1679010,3.082100
1680010,2.989000
1682010,3.234000
1683010,3.047800
1685010,2.910600
1686010,3.067400
1688010,3.042900
1690010,3.052700
1691010,2.984100
1693010,3.008600
1694011,3.096800
1696010,2.964500
1697010,3.243800
1699010,3.111500
1700010,3.131100
1702010,2.900800
1703010,2.861600
1705010,2.940000
1707010,2.846900
1708010,3.038000
